time,version,comments,class
2020-05-30 16:05:42,11.23.0.10,整体感觉起来还是很OK的，下载快，内存小，如果下不了的话建议你清理一下内存，但不足的一点是有些地方太恶了吧，也不知道百度里面会有这种bgj的东西，也不知道是百度想賺钱才引入的还是什么，但我个人认为百度应该快点去除这些，以上皆为个人感觉,good
2020-05-25 17:35:32,11.23.0.10,好用，就是内存，资讯多，同時建议下360,good
2020-05-25 13:05:43,11.23.0.10,这个软件真是太好了,best
2020-05-25 08:14:26,11.23.0.10,百度很好用，我常用，,best
2020-05-25 08:10:55,11.23.0.10,很好用，我常用500,best
2020-05-20 22:53:58,11.23.0.10,组队分9亿，红包领不停，女生有秘密每天皆可领。数字很好记，要不你试试？,best
2020-05-18 15:38:29,11.23.0.10,这个百度真好用。,best
2020-05-12 01:05:30,11.18.0.12,新城广场舞大妈吃醋彻彻底底,best
2020-05-11 10:43:47,11.22.9.10,真是垃圾，不会做浏览器就别做，给1星都嫌多,bad
2020-05-06 21:57:52,11.22.8.10,非常的好用，什么都能搜,best
2020-05-02 08:10:59,11.21.3.10,觉得非常的好哦，非常的好，我对这里很满意，给五星。,best
2020-04-29 13:09:48,11.22.5.10,这个软件太万能了，什么都可以搜，这简直就是理想的软件。,best
2020-04-29 09:31:12,11.22.5.10,哈哈哈，好全能的软件鸭,best
2020-04-25 22:10:16,11.22.0.10,很实用,best
2020-04-24 12:36:57,11.22.0.10,不错呵,best
2020-04-17 21:13:58,11.11.0.12,听说盘神被抓，特来好评分期,bad
2020-04-15 23:26:11,9.2.0.10,很好用,best
2020-04-15 09:29:43,11.21.3.10,百度账号名改不了就不说了，可是百家号为什么不能和百度账号取消关联或是可以另外绑定一个呢？ 这么死板一个嘛？ 还从没遇到过这么死板一块的平台,bad
2020-04-13 19:17:32,11.21.3.10,五星好评分期付,bad
2020-04-13 19:15:28,11.21.3.10,差评，我才下百度就给我说百度已经停运了，所以差评！,bad
2020-04-12 18:57:57,11.21.3.10,百度的视频不是一点点恶心，广告经常点不出来,bad
2020-04-12 16:22:40,11.21.3.10,什么也能干,best
2020-04-12 08:25:12,11.21.3.10,不错,best
2020-04-11 15:13:19,11.21.3.10,很好用，太棒太nice了！唔丢～就很棒,best
2020-04-10 15:05:27,11.21.3.10,很棒，很好用，还可以搜题,best
2020-04-10 09:03:23,11.21.3.10,什么意思！,bad
